E LAKE ST,41.8857637,-87.6250728
E LA SALLE DR,39.6686523,-104.7598212
E LITTLE CALUMET RIVER,41.60432337,-87.48475451
E MADISON PARK,41.8032066,-87.5943296
E MADISON ST,39.2994994,-76.5928528
E MARQUETTE DR,33.3652928,-111.7466534
E MARQUETTE RD,41.7749613,-87.6057823
E MCFETRIDGE DR,41.8650031,-87.6170362
E MCFETRIDGE DR S,41.8650031,-87.6170362
E MIDWAY PLAISANCE,41.7868907,-87.593919
E MIDWAY PLAISANCE   N,41.7868907,-87.593919
E MONROE DR,33.7927489,-84.3670542
E MONROE ST,33.4504467,-112.0455274
E MORGAN DR,41.793241,-87.6112496
E MUSEUM DR,44.2203185,-74.4399163
E NORTH AVE,43.0601025,-87.8955265
E NORTH WATER LOWER ST,41.8895376,-87.6196763
E NORTH WATER ST,41.8895376,-87.6196763
E OAK ST,41.9007199,-87.6274937
E OAKWOOD BLVD,41.8227273,-87.6079821
E OHIO ST,41.8928096,-87.6145211
E OHIO ST E,41.8928096,-87.6145211
E ONTARIO ST,41.8933772,-87.6217796
E PEARSON ST,41.8975896,-87.6228636
E PERSHING RD,41.823849,-87.6148455
E RANDOLPH LOWER ST,41.8845238,-87.6205183
E RANDOLPH ST,41.8845238,-87.6205183
E RANDOLPH SUB ST,41.8845238,-87.6205183
E RIVER DR,43.884973,-123.0161763
E ROOSEVELT DR,34.4653667,-82.65103
E ROOSEVELT RD,41.8609425,-87.9610885
E SCHILLER ST,41.9012659,-87.9308356
E SCOTT ST,41.9048793,-87.6270749
E SOLIDARITY DR,41.8661622,-87.6105179
E SOUTH SHORE DR,33.3528142,-111.7660151
E SOUTH WATER LOWER ST,41.8868609,-87.6203062
E SOUTH WATER RAMP LOWER ST,41.8868609,-87.6203062
E SOUTH WATER ST,41.8868609,-87.6203062
E SOUTH WATER SUB ST,41.8868609,-87.6203062
E STEVENSON EXPY IB,41.8094342,-87.7670348
E STEVENSON EXPY OB,41.8094342,-87.7670348
E STEVENSON IB LSD SB ER,51.5150534,-0.099034
E STEVENSON KING DR ER,41.7690579,-87.6153521
E STEVENSON KING DR XR,41.7690579,-87.6153521
E SUPERIOR ST,41.8957682,-87.622054
E VAN BUREN ST,33.4513059,-112.0129056
E WACKER DR,41.8881291,-87.6225713
E WACKER PL,41.8868009,-87.6259377
E WALTON PL,41.9000444,-87.6216975
E WALTON ST,41.9000081,-87.6237166
E WASHINGTON ST,39.7715803,-86.0551279
E WATERSIDE DR,41.8870093,-87.6163007
E WOODLAND PARK,41.8324893,-87.6099791
N ABERDEEN ST,41.8888369,-87.6545618
N ACADEMY PL,38.9044943,-104.7757668
N ADA ST,41.8964999,-87.6614126
N ALBANY AVE,41.9502949,-87.7054592
N ALBANY DR,41.9502949,-87.7054592
N ALGONQUIN AVE,42.0023659,-87.7637404
N ALLEN AVE,34.1696228,-118.1130077
N ALTA VISTA TER,41.9518048,-87.6565038
N ANTHON AVE,41.9650919,-87.8406749
N ARMOUR ST,41.8924415,-87.6655461
N ARMSTRONG CT,47.9576914,-117.4518318
N ARMSTRONG RD,32.3607749,-97.040629
N ARTESIAN AVE,41.9485252,-87.6895052
N ASHLAND AVE,41.9519823,-87.6689237
N ASHLAND BLVD,42.0120891,-87.670172
N ASTOR ST,41.9077978,-87.6275555
N AUSTIN AVE,41.9516577,-87.7767162
N AUSTIN AV JFK XR,40.6413113,-73.7781383
N AUSTIN BLVD,41.8947007,-87.7751149
N AVERS AVE,41.9409518,-87.7235522
N AVONDALE AVE,41.9651348,-87.7525796
N BAGGOT CT,53.3367775,-6.2504992
N BAY CT,41.941034,-87.6956827
N BEACON ST,42.3588964,-71.16054
N BELL AVE,41.9085094,-87.6835001
N BERNARD ST,41.9593022,-87.7142979
N BESLY CT,41.9127953,-87.6645333
N BESSIE COLEMAN DR,41.9848031,-87.8856908
N BINGHAM ST,41.9181172,-87.6912256
N BISHOP ST,41.889396,-87.6645529
N BISSELL ST,41.9181127,-87.6521449
N BOSWORTH AVE,41.9269817,-87.6670413
N BOWMANVILLE AVE,41.9797039,-87.6840107
N BREAKWATER ACCESS,41.8872042,-87.6117795
N BROADWAY,41.96405,-87.6565802
N BRYN MAWR AV LSD ER,40.0218457,-75.3167989
N BURLING ST,41.9194357,-87.6473385
N CALDWELL AVE,42.0019347,-87.7766325
N CALIFORNIA AVE,41.9503313,-87.6981377
N CAMBRIDGE AVE,43.0710846,-87.8915315
N CAMPBELL AVE,32.2795105,-110.9438254
N CANAL ST,41.8866497,-87.639866
N CANFIELD AVE,41.9781645,-87.8241368
N CANNON DR,41.9295169,-87.6359434
N CARPENTER ST,41.8895875,-87.6534214
N CENTRAL AVE,33.4717236,-112.0737272
N CENTRAL PARK AVE,41.9456253,-87.7171728
N CENTRAL PARK BLVD,26.3572693,-80.20119
N CENTRAL PARK BLVD W,26.3572693,-80.20119
N CENTRAL PARK DR,41.9456253,-87.7171728
N CHERRY AVE,41.9054646,-87.655433
N CHESTER AVE,35.4251471,-119.0213313
N CHICORA AVE,42.0037107,-87.768318
N CHRISTIANA AVE,41.896575,-87.7099225
N CICERO AVE,41.9479382,-87.7470884
N CITYFRONT PLAZA DR,41.8902481,-87.6215967
N CLAREMONT AVE,41.904851,-87.6858541
N CLARENDON AVE,41.9612418,-87.649891
N CLARK ST,41.9472062,-87.6564994
N CLEAVER ST,41.905823,-87.6639022
N CLEVELAND AVE,26.6858806,-81.9013572
N CLIFFORD AVE,34.1192579,-117.3758578
N CLIFTON AVE,41.9416767,-87.6577939
